Source,Type,Value
riskiq,url,https://cldownloader.github.io/logo.png
riskiq,url,https://i.stack.imgur.com/NDTUM.png
riskiq,url,https://mantis.jancom.pl/bluemantis/image/addon/addin.php
riskiq,url,https://update.cyberlink.com/Retail/Patch/Promeo/DL/RDZCMSFY1ELY/CyberLink_Promeo_Downloader.exe
riskiq,url,https://update.cyberlink.com/Retail/Promeo/RDZCMSFY1ELY/CyberLink_Promeo_Downloader.exe
riskiq,url,https://www.webville.net/images/CL202966126.png
riskiq,url,https://zeduzeventos.busqueabuse.com/wp-admin/js/widgets/sub/wids.php
riskiq,hash_sha256,089573B3A1167F387DCDAD5E014A5132E998B2C89BFF29BCF8B06DD497D4E63D
riskiq,hash_sha256,166D1A6DDCDE4E859A89C2C825CD3C8C953A86BFA92B343DE7E5BFBFB5AFB8BE
riskiq,hash_sha256,915C2495E03FF7408F11A2A197F23344004C533FF87DB4B807CC937F80C217A1
riskiq,domain,cldownloader.github.io
riskiq,domain,mantis.jancom.pl
riskiq,domain,webville.net
riskiq,domain,zeduzeventos.busqueabuse.com
riskiq,domain,update.cyberlink.com
