TimeGenerated,IoC,IoC_Type,Tags,Threat_Type,Status,itype
2023-03-13T13:55:47.392Z,2f8fbe4595c78405cddc913ce40a982ffae8c7da4705ab87fc4f014f351a5c7a,md5,"[""http://joanaghafoundation.org/docdir/QBOT_AZD.ZIP"", ""zip""]",malware,active,mal_md5
2023-03-13T13:55:47.375Z,4d8684d91590a66e6c52d7eeed4307c2,md5,"[""http://joanaghafoundation.org/docdir/QBOT_AZD.ZIP"", ""zip""]",malware,active,mal_md5
2023-03-13T13:55:46.908Z,d4c795a2528cf115685cb2e7f6242f529feb4ae4f7c38491e20fa5b0c7d3cc30,md5,"[""http://addmantra.com/rulesupdate/QBOT_AZD.ZIP"", ""zip""]",malware,active,mal_md5
2023-03-13T13:55:46.889Z,06c229195176495816f727acd695ab48,md5,"[""http://addmantra.com/rulesupdate/QBOT_AZD.ZIP"", ""zip""]",malware,active,mal_md5
2023-03-13T13:55:46.527Z,d53b988d239759fe9d8724e2b9ade546d88daee6819503907526eb959d00e9c1,md5,"[""http://joanaghafoundation.org/docdir/QBOT_AZD.ZIP"", ""zip""]",malware,active,mal_md5
2023-03-13T13:55:46.511Z,4953d31f7fec04deaaf6bbf646022de4,md5,"[""http://joanaghafoundation.org/docdir/QBOT_AZD.ZIP"", ""zip""]",malware,active,mal_md5
2023-03-13T13:42:02.898Z,79515c21aa72549aa43dc98819c9cd50,md5,"[""39778"", ""#Qakbot"", ""[IR-2][PIR-1]"", ""https://twitter.com/pr0xylife/status/1635272908363943937"", ""Pinkslipbot"", ""pr0xylife"", ""Qbot"", ""QuackBot"", ""soc-39778""]",phish,active,phish_md5
2023-03-13T13:42:02.854Z,eb8ef358659a85e3769ee8114c338994fa2d7db29efb8ea43ad16b4d5d4791b8,md5,"[""39778"", ""#Qakbot"", ""[IR-2][PIR-1]"", ""https://twitter.com/pr0xylife/status/1635272908363943937"", ""Pinkslipbot"", ""pr0xylife"", ""Qbot"", ""QuackBot"", ""soc-39778""]",phish,active,phish_md5
2023-03-13T13:42:02.789Z,53550d3b5c07621200c696efecbeb5c7,md5,"[""39778"", ""#Qakbot"", ""[IR-2][PIR-1]"", ""https://twitter.com/pr0xylife/status/1635272908363943937"", ""Pinkslipbot"", ""pr0xylife"", ""Qbot"", ""QuackBot"", ""soc-39778""]",phish,active,phish_md5
2023-03-13T13:42:02.729Z,74ee45a7dc4ca40eaaf817dc5959328d,md5,"[""39778"", ""#Qakbot"", ""[IR-2][PIR-1]"", ""https://twitter.com/pr0xylife/status/1635272908363943937"", ""Pinkslipbot"", ""pr0xylife"", ""Qbot"", ""QuackBot"", ""soc-39778""]",phish,active,phish_md5
2023-03-13T13:42:02.612Z,c8bc4d48f0e28dc61d65b4f8e6c0845387e2c44c,md5,"[""39778"", ""#Qakbot"", ""[IR-2][PIR-1]"", ""https://twitter.com/pr0xylife/status/1635272908363943937"", ""Pinkslipbot"", ""pr0xylife"", ""Qbot"", ""QuackBot"", ""soc-39778""]",phish,active,phish_md5
2023-03-13T13:42:02.554Z,1ee7288f638241c71e41dcf16c5e01d14a72e656,md5,"[""39778"", ""#Qakbot"", ""[IR-2][PIR-1]"", ""https://twitter.com/pr0xylife/status/1635272908363943937"", ""Pinkslipbot"", ""pr0xylife"", ""Qbot"", ""QuackBot"", ""soc-39778""]",phish,active,phish_md5
