TimeGenerated,IoC,IoC_Type,Tags,Threat_Type,Status,itype
2023-03-13T14:04:41.353Z,200.84.195.17,ip,"[""None"", ""Oakboat"", ""Pinkslipbot"", ""port:2222"", ""pr0xylife"", ""QakBot"", ""Qbot"", ""Quakbot"", ""Threatfox"", ""win.qakbot""]",c2,active,c2_ip
2023-03-13T14:04:41.325Z,86.166.76.246,ip,"[""None"", ""Oakboat"", ""Pinkslipbot"", ""port:443"", ""pr0xylife"", ""QakBot"", ""Qbot"", ""Quakbot"", ""Threatfox"", ""win.qakbot""]",c2,active,c2_ip
2023-03-13T14:04:41.270Z,47.61.70.76,ip,"[""None"", ""Oakboat"", ""Pinkslipbot"", ""port:2078"", ""pr0xylife"", ""QakBot"", ""Qbot"", ""Quakbot"", ""Threatfox"", ""win.qakbot""]",c2,active,c2_ip
2023-03-13T14:04:41.240Z,86.98.216.189,ip,"[""None"", ""Oakboat"", ""Pinkslipbot"", ""port:2222"", ""pr0xylife"", ""QakBot"", ""Qbot"", ""Quakbot"", ""Threatfox"", ""win.qakbot""]",c2,active,c2_ip
2023-03-13T14:04:41.211Z,217.165.232.217,ip,"[""None"", ""Oakboat"", ""Pinkslipbot"", ""port:443"", ""pr0xylife"", ""QakBot"", ""Qbot"", ""Quakbot"", ""Threatfox"", ""win.qakbot""]",c2,active,c2_ip
2023-03-13T14:04:41.184Z,103.123.223.144,ip,"[""None"", ""Oakboat"", ""Pinkslipbot"", ""port:443"", ""pr0xylife"", ""QakBot"", ""Qbot"", ""Quakbot"", ""Threatfox"", ""win.qakbot""]",c2,active,c2_ip
2023-03-13T14:04:41.122Z,201.249.12.75,ip,"[""None"", ""Oakboat"", ""Pinkslipbot"", ""port:2222"", ""pr0xylife"", ""QakBot"", ""Qbot"", ""Quakbot"", ""Threatfox"", ""win.qakbot""]",c2,active,c2_ip
2023-03-13T14:04:41.069Z,178.153.2.76,ip,"[""None"", ""Oakboat"", ""Pinkslipbot"", ""port:443"", ""pr0xylife"", ""QakBot"", ""Qbot"", ""Quakbot"", ""Threatfox"", ""win.qakbot""]",c2,active,c2_ip
2023-03-13T14:04:41.039Z,90.55.105.42,ip,"[""None"", ""Oakboat"", ""Pinkslipbot"", ""port:2222"", ""pr0xylife"", ""QakBot"", ""Qbot"", ""Quakbot"", ""Threatfox"", ""win.qakbot""]",c2,active,c2_ip
2023-03-13T14:04:41.011Z,83.7.55.212,ip,"[""None"", ""Oakboat"", ""Pinkslipbot"", ""port:443"", ""pr0xylife"", ""QakBot"", ""Qbot"", ""Quakbot"", ""Threatfox"", ""win.qakbot""]",c2,active,c2_ip
2023-03-13T14:04:40.986Z,31.166.152.157,ip,"[""None"", ""Oakboat"", ""Pinkslipbot"", ""port:995"", ""pr0xylife"", ""QakBot"", ""Qbot"", ""Quakbot"", ""Threatfox"", ""win.qakbot""]",c2,active,c2_ip
2023-03-13T14:04:40.956Z,2.49.58.47,ip,"[""None"", ""Oakboat"", ""Pinkslipbot"", ""port:2222"", ""pr0xylife"", ""QakBot"", ""Qbot"", ""Quakbot"", ""Threatfox"", ""win.qakbot""]",c2,active,c2_ip
2023-03-13T14:04:40.927Z,180.162.231.210,ip,"[""None"", ""Oakboat"", ""Pinkslipbot"", ""port:995"", ""pr0xylife"", ""QakBot"", ""Qbot"", ""Quakbot"", ""Threatfox"", ""win.qakbot""]",c2,active,c2_ip
